"Unidade da Federação";"072 BCG";"099 Hepatite B  em crianças até 30 dias";"061 Rotavírus Humano";"053 Meningococo C";"073 Hepatite B";"080 Penta";"012 Pneumocócica";"074 Poliomielite";"100 Poliomielite 4 anos";"006 Febre Amarela";"096 Hepatite A";"091 Pneumocócica(1º ref)";"092 Meningococo C (1º ref)";"093 Poliomielite(1º ref)";"021 Tríplice Viral  D1";"098 Tríplice Viral  D2";"097 Tetra Viral(SRC+VZ)";"075 DTP";"102 DTP REF (4 e 6 anos)";"103 Dupla Adulto (dt)";"095 Tríplice Bacteriana(DTP)(1º ref)";"094 Dupla adulto e tríplice acelular gestante";"003 dTpa gestante";"Total"
"11 Rondônia";27104;24953;26139;26326;30531;30099;29755;29923;2;30228;24094;23450;24525;22533;29073;23143;21658;30108;1337;61613;22136;8737;9000;556467
"12 Acre";16345;13847;12971;13428;12554;12388;14437;12612;13;10711;11859;11834;12661;11085;13616;10336;9501;12397;1422;25114;10622;2422;2718;254893
"13 Amazonas";75738;68967;59966;65564;63192;61214;69760;61601;85;56801;64545;63275;66240;54832;68295;52806;50917;61219;4878;148647;53628;39936;46913;1359019
"14 Roraima";12974;12659;9964;9698;10154;10051;10755;9716;27;9672;10024;9919;9592;10215;9895;9910;9686;10071;980;13543;9333;5910;6928;211676
"15 Pará";121313;106034;92778;101933;89172;87433;109038;96257;8;84047;96717;91576;98022;81085;101592;82198;77673;87455;9831;226955;84936;28065;30410;1984528
"16 Amapá";15766;13960;11642;11706;10319;9887;11970;10364;12;10115;11225;10868;11472;4954;12635;10522;9880;9888;1259;25716;9117;3500;3290;230067
"17 Tocantins";26221;22827;22198;22430;21642;21398;23218;21431;2;18251;21907;20619;22019;20328;22257;19600;16326;21405;1066;69247;20097;8745;13581;476815
"21 Maranhão";115279;102245;82494;89119;87830;84384;95851;85052;455;73873;84157;82288;86269;75229;95112;63521;24705;84482;8720;161981;71702;36560;44196;1735504
"22 Piauí";46037;43106;36820;38713;37582;36167;40532;37212;10;33424;38358;37518;38859;36678;39548;28877;8956;36197;2409;76731;34712;14917;18240;761603
"23 Ceará";139510;126603;131303;132540;126860;123461;139356;124177;538;704;123959;121043;122654;116734;135316;106589;46310;123635;5967;166878;113157;89334;83807;2400435
"24 Rio Grande do Norte";31972;28973;33183;34123;33813;32971;36618;33203;35;128;32188;33198;33277;31537;39331;26128;9195;33032;3884;60571;29803;13300;12946;623409
"25 Paraíba";58990;48377;48667;48992;47907;47233;52236;47206;86;298;50654;44956;44395;43389;55642;41331;13841;47287;2783;71088;42170;21297;19620;898445
"26 Pernambuco";139580;123901;119174;122382;125718;122929;131128;121042;355;917;122983;117274;118973;115570;145287;102155;43943;123225;9726;160078;113300;71085;73584;2324309
"27 Alagoas";57085;46912;43696;46032;42773;41962;47463;42788;304;380;47411;44387;43589;44218;53843;36864;16202;42048;4389;59962;42814;27648;25656;858426
"28 Sergipe";33630;32284;28093;28666;27656;27522;29947;27162;20;88;27801;27559;28149;25843;30675;25494;8585;27552;2122;52112;25426;9913;10118;536417
"29 Bahia";175730;153878;152306;165130;159902;154845;172515;157531;101;146951;155944;145767;156634;137770;169776;128281;46124;154959;12505;386957;139465;44052;56354;3173477
"31 Minas Gerais";249582;214929;236196;237764;241768;231293;245472;230667;57;217734;240587;223678;230574;225924;249552;228478;48809;231369;10791;928842;211780;61169;98729;5095744
"32 Espírito Santo";51101;46359;46990;45971;47586;45397;49767;45940;116;34644;43321;44462;44833;43607;49360;40901;8999;45523;2639;95368;40418;28077;35734;937113
"33 Rio de Janeiro";268520;220280;194671;212816;221550;218685;226949;207660;262;61171;208828;197334;193408;189624;230954;165907;45933;219293;14386;208391;184389;118306;154888;3964205
"35 São Paulo";628827;571677;564078;558577;559498;542263;595872;545593;3286;146452;502314;489970;508863;510175;570938;545158;134363;546330;25674;1227122;480770;178863;224624;10661287
"41 Paraná";153069;119840;142410;146442;152137;143797;150817;143474;108;110244;144337;136663;140402;130033;146843;141027;117518;144061;6088;358445;105055;56329;90414;2979553
"42 Santa Catarina";79004;72256;85722;89194;81233;78455;83161;83999;99;25167;77827;76033;81266;79601;87017;77150;64558;78540;3133;222079;73525;29983;36912;1665914
"43 Rio Grande do Sul";131199;108829;121381;126159;123992;119873;130467;122683;330;78785;118317;116690;120860;112441;125631;114280;94428;120005;6198;332648;104074;39467;47784;2516521
"50 Mato Grosso do Sul";46659;40710;40886;41141;41395;40713;43462;40127;81;37319;39144;38870;38713;37347;41807;34440;30449;40826;2160;83896;36573;26222;26679;849619
"51 Mato Grosso";54201;49226;47139;49579;49051;48403;51788;47764;59;46928;48645;45009;47390;45831;51465;43459;39684;48471;3165;116592;43232;23245;26446;1026772
"52 Goiás";91133;73291;88167;87140;82619;81019;90402;83505;86;75840;84397;79353;83462;78046;88698;78529;65666;81101;7586;214851;71789;33096;51353;1771129
"53 Distrito Federal";44022;48976;40630;39192;40024;39845;42553;39505;87;36806;40359;37325;37288;38108;39838;38494;33249;40157;2614;134534;37134;8600;9802;869142
"Total";2890591;2535899;2519664;2590757;2568458;2493687;2725289;2508194;6624;1347678;2471902;2370918;2444389;2322737;2703996;2275578;1097158;2500636;157712;5689961;2211157;1028778;1260726;50722489
