"Unidade da Federação";"072 BCG";"099 Hepatite B  em crianças até 30 dias";"061 Rotavírus Humano";"053 Meningococo C";"073 Hepatite B";"080 Penta";"012 Pneumocócica";"074 Poliomielite";"100 Poliomielite 4 anos";"006 Febre Amarela";"096 Hepatite A";"091 Pneumocócica(1º ref)";"092 Meningococo C (1º ref)";"093 Poliomielite(1º ref)";"021 Tríplice Viral  D1";"098 Tríplice Viral  D2";"097 Tetra Viral(SRC+VZ)";"075 DTP";"102 DTP REF (4 e 6 anos)";"095 Tríplice Bacteriana(DTP)(1º ref)";"094 Dupla adulto e tríplice acelular gestante";"003 dTpa gestante";"Total"
"11 Rondônia";53,21;52,35;57,31;59,31;58,82;57,39;60,04;57,10;...;52,74;52,60;49,72;56,53;46,56;56,62;49,35;45,86;57,43;1,15;44,56;36,78;48,88;55,20
"12 Acre";59,42;58,67;50,89;55,09;51,17;50,95;55,04;49,86;0,65;44,01;48,41;46,19;52,27;41,24;52,58;44,31;43,31;51,47;1,68;41,50;35,58;46,74;49,31
"13 Amazonas";58,92;56,70;55,28;59,63;57,64;54,92;61,67;55,09;0,06;49,10;56,47;53,67;59,71;51,64;58,89;51,33;45,40;55,06;1,45;48,05;39,75;50,14;54,75
"14 Roraima";73,98;73,24;51,25;52,38;52,28;51,42;58,75;52,25;...;44,06;52,67;44,29;46,80;44,78;48,20;54,18;47,85;51,53;1,68;42,24;26,04;45,33;55,45
"15 Pará";46,52;43,17;45,28;45,60;41,42;40,40;47,90;42,82;0,03;38,04;41,59;39,17;43,53;34,52;44,86;38,43;35,92;40,45;0,84;30,83;29,74;37,86;40,09
"16 Amapá";61,16;56,49;50,33;54,76;47,09;43,88;52,30;46,88;...;42,27;47,09;43,60;52,39;36,06;51,07;43,35;41,52;43,92;1,90;36,76;34,57;41,74;47,24
"17 Tocantins";69,91;69,75;57,96;61,18;59,87;58,74;61,48;58,95;1,02;53,07;56,22;58,10;63,79;49,42;58,69;53,97;52,93;58,84;0,66;47,30;36,77;53,80;60,36
"21 Maranhão";50,05;46,79;48,81;48,49;46,35;44,07;52,19;47,59;0,62;43,97;46,01;46,01;48,18;40,65;50,05;37,66;5,66;44,09;0,93;35,39;30,25;44,89;42,60
"22 Piauí";50,07;51,29;52,86;54,11;59,51;50,29;54,93;51,63;...;47,81;50,77;49,12;53,21;41,78;54,04;43,79;1,13;50,71;1,01;35,42;31,66;41,94;47,24
"23 Ceará";55,74;50,50;63,32;63,91;64,16;61,79;66,14;62,25;0,06;0,43;58,87;58,92;62,09;52,00;64,79;53,40;11,62;61,84;0,76;48,77;44,04;51,85;52,51
"24 Rio Grande do Norte";43,64;42,70;46,98;46,66;45,56;44,02;49,05;44,26;0,03;0,41;44,84;45,98;48,54;39,74;50,99;37,37;1,34;44,11;0,99;37,72;29,01;39,73;40,81
"25 Paraíba";57,73;52,54;53,79;53,59;55,91;52,29;55,94;51,54;0,36;0,75;50,73;50,69;54,30;46,18;58,80;44,66;10,14;52,39;1,15;41,91;31,23;44,28;46,73
"26 Pernambuco";58,24;56,09;54,80;56,06;56,95;53,59;57,06;54,19;0,21;0,70;54,42;54,34;58,16;46,01;63,82;48,59;4,61;53,61;1,01;42,85;39,48;49,11;48,81
"27 Alagoas";59,95;54,68;57,70;59,20;62,38;56,79;60,98;56,34;0,74;1,96;58,16;58,16;61,30;52,52;67,73;45,37;2,36;57,00;1,07;39,53;40,83;51,05;49,09
"28 Sergipe";51,69;50,91;54,68;56,49;59,40;54,34;56,42;53,49;0,10;0,93;54,46;57,04;60,52;48,33;62,09;47,83;0,37;54,46;1,18;41,50;29,32;40,90;48,83
"29 Bahia";46,12;43,73;43,75;45,71;47,40;44,27;46,36;43,86;0,01;41,14;43,15;42,42;47,74;36,64;48,83;38,47;0,77;44,29;0,86;36,68;22,47;35,36;40,80
"31 Minas Gerais";58,91;53,83;59,22;59,31;65,15;55,59;59,91;57,74;0,12;58,64;60,44;58,32;61,90;54,07;65,82;56,89;0,57;55,75;1,08;45,50;32,40;49,49;56,35
"32 Espírito Santo";56,05;53,16;54,40;55,44;51,65;49,85;56,40;54,09;0,15;46,25;57,46;58,68;61,94;49,93;62,14;52,82;1,40;50,10;0,70;39,53;40,05;51,45;53,82
"33 Rio de Janeiro";34,15;25,17;32,87;33,56;33,90;30,35;34,17;32,47;0,01;26,46;32,94;30,00;34,56;26,31;39,13;29,36;2,12;30,44;0,84;21,33;16,83;25,35;28,98
"35 São Paulo";50,70;47,15;53,12;54,07;59,56;49,04;54,44;52,48;0,13;45,08;53,77;51,79;57,29;48,55;60,19;51,69;24,28;49,14;1,00;37,75;27,16;35,86;50,95
"41 Paraná";62,59;44,48;58,80;60,88;72,75;56,62;60,05;57,81;0,08;56,64;60,60;59,12;62,54;52,67;63,19;59,95;56,05;56,82;1,11;40,73;31,52;48,17;61,50
"42 Santa Catarina";55,95;54,09;60,54;62,88;64,82;56,21;61,83;59,36;0,23;56,79;59,58;58,42;63,53;54,32;62,31;58,00;55,69;56,36;0,67;39,69;36,96;46,48;64,14
"43 Rio Grande do Sul";58,38;52,06;56,37;58,75;60,50;54,38;58,21;55,73;0,62;42,64;56,76;54,87;60,79;50,66;58,89;54,51;51,73;54,57;1,07;45,27;34,38;46,28;55,32
"50 Mato Grosso do Sul";64,34;62,26;57,40;58,48;60,47;57,96;59,59;56,75;0,28;56,34;55,56;54,38;60,06;53,96;61,72;51,17;47,10;58,44;1,11;47,38;42,03;47,75;55,89
"51 Mato Grosso";51,10;48,87;53,70;54,92;55,76;51,03;55,71;52,50;0,78;49,27;50,06;45,76;55,51;45,09;54,49;49,04;46,34;51,10;1,20;39,22;29,83;40,17;50,35
"52 Goiás";58,19;50,40;54,67;56,01;52,83;49,54;56,41;53,21;0,04;51,15;54,52;52,72;56,85;48,21;57,14;50,19;45,32;49,78;0,90;30,47;25,76;42,95;50,98
"53 Distrito Federal";63,77;68,89;55,97;57,51;54,28;53,65;56,88;54,26;0,03;55,20;58,94;51,37;58,48;51,55;58,73;59,30;57,01;54,13;1,66;48,42;43,89;51,33;57,84
"Total";52,95;48,33;52,47;53,66;55,93;49,73;54,43;51,54;0,19;39,91;52,09;50,50;55,16;45,89;57,19;48,37;22,46;49,86;1,00;38,70;30,73;41,97;49,46
