"Unidade da Federação";"072 BCG";"099 Hepatite B  em crianças até 30 dias";"061 Rotavírus Humano";"053 Meningococo C";"073 Hepatite B";"080 Penta";"012 Pneumocócica";"074 Poliomielite";"100 Poliomielite 4 anos";"006 Febre Amarela";"096 Hepatite A";"091 Pneumocócica(1º ref)";"092 Meningococo C (1º ref)";"093 Poliomielite(1º ref)";"021 Tríplice Viral  D1";"098 Tríplice Viral  D2";"097 Tetra Viral(SRC+VZ)";"075 DTP";"102 DTP REF (4 e 6 anos)";"103 Dupla Adulto (dt)";"095 Tríplice Bacteriana(DTP)(1º ref)";"094 Dupla adulto e tríplice acelular gestante";"003 dTpa gestante";"Total"
"11 Rondônia";14635;14399;15762;16312;16178;15783;16514;15704;-;14505;14466;13675;15547;12805;15573;13573;12613;15796;594;41627;12256;9774;12992;331083
"12 Acre";9720;9598;8325;9011;8371;8334;9004;8156;1;7199;7919;7555;8550;6746;8601;7249;7085;8419;536;16394;6788;5598;7354;176513
"13 Amazonas";45990;44252;43148;46538;44990;42861;48133;42999;21;38319;44074;41888;46605;40301;45962;40061;35431;42973;2231;113032;37504;30347;38286;955946
"14 Roraima";8683;8596;6015;6148;6136;6035;6895;6132;-;5171;6182;5198;5493;5256;5657;6359;5616;6048;332;21548;4958;2891;5033;140382
"15 Pará";64516;59874;62791;63243;57437;56029;66435;59386;9;52749;57672;54321;60362;47870;62214;53298;49813;56092;2569;123851;42750;40897;52063;1246241
"16 Amapá";9418;8699;7750;8433;7252;6757;8053;7219;-;6509;7252;6714;8068;5553;7864;6676;6393;6763;546;15784;5660;5362;6474;159199
"17 Tocantins";17430;17391;14450;15253;14927;14644;15328;14698;2;13232;14016;14486;15904;12321;14632;13457;13197;14671;264;40196;11793;8777;12841;323910
"21 Maranhão";56549;52864;55148;54779;52370;49786;58963;53764;123;49683;51979;51985;54438;45929;56545;42545;6392;49809;2383;109410;39986;33390;49548;1078368
"22 Piauí";24311;24902;25663;26269;28892;24417;26669;25066;-;23212;24651;23850;25834;20241;26239;21262;550;24511;841;47274;17196;14879;19711;496440
"23 Ceará";71228;64538;80925;81678;81996;78971;84520;79554;23;497;75235;75304;79343;66450;82805;68239;14856;79025;1892;135730;62325;55525;65371;1486030
"24 Rio Grande do Norte";20171;19736;21717;21568;21058;20349;22674;20460;1;139;20725;21255;22435;18367;23568;17271;619;20387;867;46986;17436;13157;18017;408963
"25 Paraíba";33189;30204;30928;30808;32142;30062;32164;29633;12;322;29166;29142;31216;26552;33808;25679;5828;30119;1208;51463;24098;17513;24836;580092
"26 Pernambuco";79155;76227;74477;76188;77400;72834;77544;73647;33;878;73965;73847;79038;62530;86729;66038;6265;72861;2729;150660;58231;51602;64199;1457077
"27 Alagoas";30194;27542;29062;29818;31418;28603;30712;28377;181;960;29295;29295;30874;26454;34112;22854;1189;28712;1173;52568;19909;19668;24588;557558
"28 Sergipe";17506;17240;18520;19130;20116;18402;19107;18117;1;268;18443;19317;20496;16367;21027;16200;125;18444;727;41162;14056;9447;13176;357394
"29 Bahia";94122;89255;89287;93292;96727;90339;94605;89505;3;83962;88062;86579;97421;74779;99656;78514;1565;90383;3682;218106;74853;44702;70348;1849747
"31 Minas Gerais";153740;140467;154529;154784;170014;145056;156350;150678;104;153038;157735;152193;161540;141100;171749;148458;1493;145482;5044;453849;118742;82133;125441;3243719
"32 Espírito Santo";31300;29685;30378;30961;28842;27837;31496;30209;46;25827;32091;32773;34592;27886;34703;29498;782;27979;676;108128;22075;21389;27480;666633
"33 Rio de Janeiro";76225;56189;73362;74913;75680;67746;76273;72481;11;59057;73532;66968;77152;58734;87344;65538;4727;67951;3408;156577;47603;36863;55539;1433873
"35 São Paulo";310170;288467;324975;330790;364416;300031;333075;321065;415;275801;328982;316814;350474;296984;368221;316256;148568;300653;10639;1026784;230979;163039;215241;6922839
"41 Paraná";98696;70134;92719;96009;114727;89291;94688;91170;43;89316;95565;93224;98616;83058;99653;94542;88385;89594;2959;361993;64222;48867;74690;2132161
"42 Santa Catarina";55013;53185;59531;61834;63743;55275;60802;58371;89;55839;58586;57427;62451;53416;61273;57034;54763;55423;1004;275765;39029;35224;44297;1379374
"43 Rio Grande do Sul";82642;73698;79804;83169;85647;76988;82404;78896;546;60369;80360;77681;86063;71689;83367;77172;73232;77256;2643;239261;64089;48601;65427;1751004
"50 Mato Grosso do Sul";28788;27861;25683;26167;27058;25935;26663;25394;31;25211;24861;24335;26874;24146;27618;22899;21078;26150;829;48532;21201;17828;20256;545398
"51 Mato Grosso";29264;27989;30753;31454;31934;29224;31902;30067;138;28216;28668;26207;31790;25824;31208;28082;26540;29265;1128;69411;22459;15964;21495;628982
"52 Goiás";56745;49151;53309;54619;51522;48312;55004;51887;8;49875;53168;51411;55435;46985;55721;48942;44189;48540;1523;118672;29710;24613;41037;1090378
"53 Distrito Federal";28420;30701;24944;25632;24190;23909;25349;24183;13;24601;26267;22896;26064;22977;26177;26430;25408;24126;1326;86567;21579;19018;22241;583018
"Total";1547820;1412844;1533955;1568800;1635183;1453810;1591326;1506818;1854;1144755;1522917;1476340;1612675;1341320;1672026;1414126;656702;1457432;53753;4171330;1131487;877068;1197981;31982322
