"Unidade da Federação";"072 BCG";"099 Hepatite B  em crianças até 30 dias";"061 Rotavírus Humano";"053 Meningococo C";"073 Hepatite B";"080 Penta";"012 Pneumocócica";"074 Poliomielite";"006 Febre Amarela";"096 Hepatite A";"091 Pneumocócica(1º ref)";"092 Meningococo C (1º ref)";"093 Poliomielite(1º ref)";"021 Tríplice Viral  D1";"098 Tríplice Viral  D2";"097 Tetra Viral(SRC+VZ)";"075 DTP";"102 DTP REF (4 e 6 anos)";"095 Tríplice Bacteriana(DTP)(1º ref)";"094 Dupla adulto e tríplice acelular gestante";"003 dTpa gestante";"Total"
"11 Rondônia";28900;27427;28846;29056;32958;28464;28713;29049;31423;23153;27797;30073;20266;30247;25985;26164;28522;1125;21106;18526;16401;534201
"12 Acre";16939;15170;13113;13433;13921;12789;14507;12167;10981;10314;9923;12464;10029;12925;10959;11003;12807;1275;10261;1716;1338;228034
"13 Amazonas";77405;69276;60677;66825;86374;66490;71341;61556;61220;54959;64254;71764;55055;67461;61038;61196;66540;3919;37908;29587;34594;1229439
"14 Roraima";11985;8878;9628;10856;10257;10178;11173;9820;9764;8097;9642;12746;9709;10077;9270;9286;10178;583;9597;6201;5575;193500
"15 Pará";116950;79210;99331;103861;109374;96109;108496;90485;85356;80028;85547;106061;61923;99743;89323;89395;96115;8054;70316;20327;19655;1715659
"16 Amapá";18473;13966;15467;15634;16169;15064;16850;7721;14844;14130;12155;14711;4772;15796;13945;13967;15064;1214;10789;8976;8474;268181
"17 Tocantins";24749;19313;22695;23052;26588;21982;24268;21142;19269;18863;20996;27331;22254;22917;22016;22026;21982;1039;17431;2872;4795;407580
"21 Maranhão";105284;83307;86738;89389;102236;85437;94337;81118;80169;66055;78784;89876;66548;93487;55589;60376;85650;6943;54184;34032;33084;1532623
"22 Piauí";40198;33022;37627;38235;42196;37837;39522;33867;34309;28894;36063;44659;31743;39034;29181;31458;37840;2028;30311;8912;7855;664791
"23 Ceará";139925;124521;144033;149151;160783;143334;153979;138737;548;121011;144181;150706;113591;153990;114062;117089;143579;4888;103584;90370;76021;2488083
"24 Rio Grande do Norte";42931;34668;36911;38249;40156;36705;40604;33785;140;30380;35192;42445;29469;46197;24260;26107;36732;3662;30075;16589;14626;639883
"25 Paraíba";55952;43307;51135;51303;55799;50352;53795;49156;222;43110;44304;52039;39059;55559;32589;35213;50425;1950;37598;17863;16267;836997
"26 Pernambuco";141871;121529;134541;137922;148329;135264;143640;129654;688;109541;130140;147922;102632;161595;97868;100594;135457;8993;112847;76478;70603;2348108
"27 Alagoas";54341;42161;43122;46410;51031;43871;48853;41454;230;37727;41907;46709;39117;52929;31321;33114;43904;4240;34728;23183;21386;781738
"28 Sergipe";33372;32521;28963;29176;28228;28106;30142;26905;115;23531;27505;31214;21905;31649;24353;25840;28148;1304;26425;8160;7266;494828
"29 Bahia";171411;145967;150983;158361;170722;156698;162249;144177;141520;123412;138392;168657;129377;174730;114664;121232;158448;11246;126603;51298;54969;2775116
"31 Minas Gerais";238423;203016;245869;252647;280934;248661;255225;235424;229374;210850;228934;284758;241506;263798;235662;244848;248728;10925;204230;46183;67049;4477044
"32 Espírito Santo";51190;45109;51850;53108;66473;52053;54028;50436;222;44120;52224;60784;44361;58927;44260;46054;52126;2723;34775;27507;28172;920502
"33 Rio de Janeiro";248215;200436;218761;229558;280413;225839;251341;210018;516;182006;204030;230565;150672;255170;168551;172336;226793;14345;130050;99141;122322;3821078
"35 São Paulo";590146;561873;565084;565712;688424;553586;585454;524536;115491;396825;543164;505225;486179;581581;486323;506596;556464;25191;372807;151585;165304;9527550
"41 Paraná";150470;120944;145084;149571;167394;146428;152246;139974;108059;120612;134390;163242;119909;146898;145968;148102;146619;7723;104140;29548;49474;2596795
"42 Santa Catarina";94536;80735;91550;93933;112914;90482;95469;85372;25436;77870;86826;89935;80860;91716;91173;92292;90783;2888;61367;25465;31843;1593445
"43 Rio Grande do Sul";135316;104091;126530;130642;158268;126502;135145;121051;86644;104245;121697;141181;128724;129637;123920;124860;126682;8256;87222;35491;37447;2293551
"50 Mato Grosso do Sul";46745;43314;43113;44661;45205;43592;45495;41303;41293;36620;41384;49858;38519;44473;41532;41813;43629;1892;39359;20558;17884;812242
"51 Mato Grosso";54535;50746;51275;54038;59756;53894;56279;51197;50347;44243;48495;55437;43966;54609;48057;48563;53927;2916;41769;21108;19014;964171
"52 Goiás";92058;68409;87564;87440;104749;84657;91526;81874;79319;72104;79436;94136;75103;85691;83961;84961;84705;8103;57380;28620;41645;1573441
"53 Distrito Federal";61673;60184;57882;66476;71313;62629;62843;61099;59270;47812;55263;68644;45169;58830;57339;58046;62700;2697;46269;38271;33376;1137785
"Total";2843993;2433100;2648372;2728699;3130964;2657003;2827520;2513077;1286769;2130512;2502625;2793142;2212417;2839666;2283169;2352531;2664547;150122;1913131;938567;1006439;46856365
