"Unidade da Federação";"072 BCG";"099 Hepatite B  em crianças até 30 dias";"061 Rotavírus Humano";"053 Meningococo C";"073 Hepatite B";"080 Penta";"012 Pneumocócica";"074 Poliomielite";"006 Febre Amarela";"096 Hepatite A";"091 Pneumocócica(1º ref)";"092 Meningococo C (1º ref)";"093 Poliomielite(1º ref)";"021 Tríplice Viral  D1";"098 Tríplice Viral  D2";"097 Tetra Viral(SRC+VZ)";"075 DTP";"102 DTP REF (4 e 6 anos)";"095 Tríplice Bacteriana(DTP)(1º ref)";"094 Dupla adulto e tríplice acelular gestante";"003 dTpa gestante";"Total"
"11 Rondônia";29955;28334;28111;28129;28758;28269;28308;28514;28680;31439;26458;24923;26295;29477;25585;25590;28294;1548;25911;19987;17481;540046
"12 Acre";18019;11847;14038;15082;14058;13823;12332;14078;11344;12458;10106;9852;9858;14329;8795;8389;13834;1354;10668;2913;2055;229232
"13 Amazonas";87367;79718;70088;74848;75079;74608;66665;82643;72957;77075;62351;63614;65440;75246;61643;61059;74637;5628;62047;40933;38860;1372506
"14 Roraima";11944;8025;10175;10301;10508;10449;9708;12131;10117;10611;9790;9576;10712;11717;9985;9997;10466;597;9537;5640;4715;196701
"15 Pará";131887;113481;100802;106422;102358;101667;83903;100218;80230;102633;85643;85786;81713;99975;63636;52521;101689;7648;84137;20073;13495;1719917
"16 Amapá";19065;15350;12913;13921;13448;13276;10850;14489;12045;13875;10248;11414;11473;13962;11708;11158;13280;1005;11458;8439;6476;249853
"17 Tocantins";25907;22740;23556;23797;24102;23789;22638;23434;20074;22783;20816;20046;18532;22826;14782;12574;23803;778;20074;3674;3990;394715
"21 Maranhão";118831;106859;104001;106088;105580;105101;96367;114681;100111;105276;87783;88355;88419;103727;85256;82616;105251;8937;91665;54476;46677;1906057
"22 Piauí";40035;37603;39671;40575;38229;38073;38230;37555;34417;40411;36405;35371;28207;37693;29197;22382;38148;2220;34934;9083;6984;665423
"23 Ceará";143187;120668;134420;137481;135750;133285;132852;142023;439;127748;127673;126573;131352;138462;117413;117957;133419;4608;121721;93061;71702;2391794
"24 Rio Grande do Norte";49471;44109;41980;44488;42513;42316;41586;45611;171;41096;39276;40225;38603;44370;37322;37339;42417;4310;38889;25805;19346;761243
"25 Paraíba";60091;49507;52577;53530;54100;53170;52319;54630;208;47379;46104;44255;42962;53237;36633;32957;53225;2549;41597;18308;16929;866267
"26 Pernambuco";155633;123371;142499;144977;147601;146484;142920;154539;669;136575;129523;132802;137385;138301;123533;121399;146627;9532;131892;93646;84504;2544412
"27 Alagoas";53637;48840;47294;50025;48570;47975;46344;49472;252;51467;44181;39704;42512;51794;42876;42617;48074;5224;45856;23740;21574;852028
"28 Sergipe";36212;37846;31704;31813;32204;32147;31809;32066;117;32709;30365;29506;29625;31485;27705;25530;32197;1388;29677;17283;13470;566858
"29 Bahia";208964;177065;179460;190437;189742;188837;183279;193804;169155;191761;167770;171008;171018;183161;159507;149607;191316;15345;171128;84507;81475;3418346
"31 Minas Gerais";264798;229913;263444;267308;261106;260372;260864;251113;235287;259480;243338;239776;219340;258863;185820;170732;261152;10336;236901;77162;91928;4549033
"32 Espírito Santo";55311;50896;53006;53905;54695;53885;54053;53760;205;50851;50934;49426;48340;53572;47317;46453;54213;2241;49843;30710;32347;945963
"33 Rio de Janeiro";257521;196200;221365;232938;232435;222275;210601;239545;1132;223032;205237;201872;196253;235935;200114;202650;223193;15162;187517;103780;121769;3930526
"35 São Paulo";624356;565192;592573;602510;615084;600910;610492;608995;120323;625722;566423;576854;551508;598150;564656;578198;609450;7635;561091;365979;373155;10919256
"41 Paraná";164553;141684;155347;160049;158665;157702;157641;151676;119911;164522;152983;142149;129397;154866;122902;116304;158250;7120;132588;45998;58634;2752941
"42 Santa Catarina";98908;89150;96274;97492;95186;93957;95267;91982;24261;92640;89570;90847;74733;92872;75178;72467;94643;3214;82943;38882;44184;1634650
"43 Rio Grande do Sul";146604;116798;128389;135052;129898;129002;127925;126057;77969;136017;115023;115796;105534;124096;98021;84686;129555;8710;111024;36651;35011;2217818
"50 Mato Grosso do Sul";54808;49000;49771;50943;50314;49850;49585;50903;45976;47590;46911;44946;42275;47590;33847;29916;50012;2767;43699;21657;18846;881206
"51 Mato Grosso";57884;53387;52637;54538;54065;53897;51673;54467;50317;52709;47566;48459;45927;52293;42674;40650;53942;2567;47717;28049;22084;967502
"52 Goiás";99737;78268;91869;91622;92509;89862;85138;90823;80326;85863;80991;79806;74190;89826;64541;59898;90390;7724;77922;24013;33510;1568828
"53 Distrito Federal";34839;43020;29131;31179;30038;29567;31115;33347;27760;33245;30224;26231;30856;30078;29123;29524;30147;1577;26900;27966;23717;609584
"Total";3049524;2638871;2767095;2849450;2836595;2794548;2734464;2852556;1324453;2816967;2563692;2549172;2452459;2787903;2319769;2245170;2811624;141724;2489336;1322415;1304918;49652705
