"Unidade da Federação";"072 BCG";"099 Hepatite B  em crianças até 30 dias";"061 Rotavírus Humano";"053 Meningococo C";"073 Hepatite B";"080 Penta";"012 Pneumocócica";"074 Poliomielite";"100 Poliomielite 4 anos";"006 Febre Amarela";"096 Hepatite A";"091 Pneumocócica(1º ref)";"092 Meningococo C (1º ref)";"093 Poliomielite(1º ref)";"021 Tríplice Viral  D1";"098 Tríplice Viral  D2";"097 Tetra Viral(SRC+VZ)";"075 DTP";"102 DTP REF (4 e 6 anos)";"095 Tríplice Bacteriana(DTP)(1º ref)";"094 Dupla adulto e tríplice acelular gestante";"003 dTpa gestante";"Total"
"11 Rondônia";93,33;91,31;96,52;99,82;101,10;99,82;103,09;101,76;0,03;89,85;82,45;87,08;89,85;74,59;102,03;79,41;53,71;99,91;2,15;71,22;48,30;61,99;90,19
"12 Acre";100,66;94,29;82,15;75,62;69,93;69,67;89,08;77,58;...;66,53;76,11;72,92;67,18;58,39;82,94;72,05;59,21;69,77;2,51;62,95;45,81;62,62;73,66
"13 Amazonas";96,99;90,44;79,95;79,16;79,62;78,95;89,70;78,83;0,24;69,93;78,19;78,05;76,55;66,96;90,09;77,98;58,49;79,06;2,40;68,96;56,72;70,89;80,13
"14 Roraima";136,35;131,29;94,26;87,06;89,26;86,55;98,63;81,87;0,38;75,56;90,46;82,38;85,11;86,01;105,04;90,70;73,75;86,80;7,26;80,67;41,23;63,00;90,89
"15 Pará";83,70;74,66;70,66;64,38;57,79;57,20;77,66;68,28;0,04;62,31;66,50;62,77;58,33;50,32;76,15;58,67;47,09;57,25;1,69;52,40;42,67;54,51;61,96
"16 Amapá";102,66;91,63;76,46;68,11;64,72;63,02;78,32;68,66;...;65,43;68,17;63,38;62,00;38,73;77,01;63,83;51,12;63,14;2,90;52,08;48,71;57,12;68,29
"17 Tocantins";102,35;99,07;92,38;79,07;92,41;89,30;99,59;90,90;0,99;80,58;83,51;83,63;72,75;74,42;90,39;78,12;65,26;89,43;1,18;70,94;48,25;73,95;86,33
"21 Maranhão";100,62;90,90;81,58;76,82;80,53;79,42;87,81;79,34;0,27;71,42;69,80;71,87;69,18;58,33;82,64;56,12;15,05;79,49;1,95;61,29;44,39;62,97;70,16
"22 Piauí";97,47;91,30;84,54;83,47;89,14;85,24;87,76;83,00;0,13;76,45;75,82;78,63;77,74;57,16;86,86;68,04;2,50;85,41;1,29;65,71;50,74;67,47;75,34
"23 Ceará";103,39;95,54;113,27;112,36;113,36;105,51;117,21;108,81;0,58;0,90;92,85;97,47;99,62;85,50;110,24;86,44;11,54;105,58;1,75;76,68;74,49;81,84;87,67
"24 Rio Grande do Norte";106,87;100,63;85,12;83,48;90,89;88,77;93,58;89,62;1,46;0,77;76,86;78,64;74,04;64,40;88,06;63,91;11,71;88,84;2,12;63,32;48,04;62,13;74,34
"25 Paraíba";104,93;98,81;95,28;94,09;95,53;90,90;99,82;91,55;0,27;1,02;82,33;75,83;75,40;69,70;95,77;71,38;8,10;91,00;1,76;61,04;50,25;63,67;74,99
"26 Pernambuco";106,15;99,90;94,53;93,92;98,37;93,95;100,65;94,04;0,40;1,06;82,42;85,02;84,89;75,44;104,46;69,49;10,84;94,07;1,99;71,99;58,84;68,16;78,32
"27 Alagoas";111,65;96,19;97,01;99,70;102,15;97,11;102,91;94,80;1,56;2,94;88,28;89,94;90,89;83,15;106,07;71,34;19,68;97,46;2,31;76,82;67,22;72,93;80,00
"28 Sergipe";103,21;105,34;92,40;89,51;97,09;90,83;96,22;89,09;0,05;1,16;81,85;82,16;81,35;71,04;95,30;71,91;0,87;90,92;2,36;66,61;47,77;62,05;76,17
"29 Bahia";83,44;75,53;78,92;77,30;78,98;76,28;82,99;77,30;0,05;68,28;71,83;69,24;71,72;56,60;80,39;63,24;4,89;76,30;1,49;60,44;32,95;52,10;67,82
"31 Minas Gerais";99,16;89,41;96,87;96,08;99,96;95,58;98,79;95,28;0,13;93,20;90,80;88,37;89,42;81,57;96,77;84,50;9,33;95,73;1,64;80,94;45,28;72,03;91,25
"32 Espírito Santo";99,75;91,62;93,17;89,31;104,17;89,36;95,77;90,54;0,35;73,80;88,40;88,49;81,28;76,52;95,37;79,43;7,20;89,78;1,30;64,79;59,66;78,79;83,54
"33 Rio de Janeiro";104,79;81,29;88,97;87,33;93,53;87,52;92,03;86,98;0,18;46,49;80,94;72,79;70,44;66,81;99,31;69,95;8,82;87,82;2,64;58,01;44,48;59,44;71,42
"35 São Paulo";99,08;88,32;91,10;87,87;98,61;90,11;94,34;91,10;0,83;58,83;83,05;80,16;80,43;74,56;90,38;81,41;36,80;90,45;1,86;68,08;41,16;54,68;81,25
"41 Paraná";94,38;65,12;88,41;89,72;98,12;87,75;90,08;87,72;0,11;75,46;88,24;85,39;87,30;78,42;89,37;86,81;63,01;87,93;1,69;63,82;44,05;68,90;87,47
"42 Santa Catarina";91,49;80,50;92,45;92,11;103,51;91,02;90,26;91,32;0,27;59,22;86,55;83,39;85,64;81,69;91,48;83,17;68,38;91,21;1,45;71,47;51,32;66,85;87,93
"43 Rio Grande do Sul";88,78;74,80;88,84;81,22;89,41;83,38;89,11;84,09;0,76;58,37;83,69;80,50;76,67;76,19;88,55;83,30;68,53;83,60;1,85;69,59;47,04;62,34;80,84
"50 Mato Grosso do Sul";107,54;101,88;96,07;94,19;95,72;93,86;101,00;95,03;0,54;89,70;91,53;88,49;88,61;100,60;104,12;97,30;78,43;94,52;1,92;85,83;63,00;69,92;91,67
"51 Mato Grosso";105,00;96,51;91,71;89,32;91,38;89,37;97,37;90,40;0,82;85,48;84,04;79,62;81,05;70,91;90,81;80,46;61,21;89,44;2,06;71,68;50,05;63,81;85,71
"52 Goiás";93,14;78,78;87,69;87,04;90,83;83,01;90,97;84,76;0,22;78,17;81,14;80,45;81,81;71,07;87,28;76,42;59,20;83,30;2,37;62,44;38,65;64,20;79,40
"53 Distrito Federal";89,95;113,26;86,97;89,21;87,32;83,39;89,34;83,35;0,11;84,26;85,64;78,12;83,82;71,26;86,99;88,69;82,74;84,16;3,66;74,76;55,65;64,21;86,20
"Total";97,72;86,73;89,76;87,50;92,91;87,10;93,43;88,17;0,47;58,40;82,16;80,02;79,72;71,90;91,89;76,49;32,46;87,31;1,93;67,49;47,02;63,06;79,67
